OrderID,OrderDate,CustomerID,CustomerName,Region,Product,Category,Quantity,UnitPrice,SalesAmount,Channel,ProductID
1001,15-01-2023,C001,Alice,North,Laptop,Electronics,2,800,1600,Online,P001
1002,18-01-2023,C002,Bob,East,Smartphone,Electronics,3,500,1500,Offline,P006
1003,05-02-2023,C003,Charlie,South,Printer,Office Supplies,1,200,200,Online,P005
1004,10-02-2023,C001,Alice,North,Tablet,Electronics,1,300,300,Online,P007
1005,15-02-2023,C004,David,West,Desk Chair,Furniture,4,150,600,Offline,P008
1006,02-03-2023,C005,Ella,South,Monitor,Electronics,2,250,500,Online,P002
1007,10-03-2023,C006,Frank,East,Notebook,Office Supplies,5,20,100,Online,P004
1008,18-03-2023,C002,Bob,East,Laptop,Electronics,1,800,800,Offline,P001
1009,01-04-2023,C007,Grace,West,Desk,Furniture,2,300,600,Online,P003
1010,08-04-2023,C008,Hank,North,Smartphone,Electronics,2,500,1000,Offline,P006
1011,15-04-2023,C009,Ivy,South,Tablet,Electronics,3,300,900,Online,P007
1012,22-04-2023,C010,Jack,West,Desk Chair,Furniture,1,150,150,Online,P008
1013,02-05-2023,C001,Alice,North,Monitor,Electronics,1,250,250,Online,P002
1014,10-05-2023,C003,Charlie,South,Notebook,Office Supplies,6,20,120,Online,P004
1015,15-05-2023,C006,Frank,East,Printer,Office Supplies,1,200,200,Offline,P005
